hit_num,text_id,left_context,keyword,right_context,spoken_type,function
13207,KB1,", if you know what I mean , you know",like,"[unclear] pull his face and like , look over glasses",Spoken demographically sampled,DP
17296,KBK,? With his ears ? Such a [unclear] Or something,like,that . No I do n't think so . I,Spoken demographically sampled,PREP
33444,KPE,"very careful . No that , I I just walk",like,"that Sir , they 're suede , they 're a",Spoken demographically sampled,PREP
12571,K6S,"I remember that I thought , Lord that just looked",like,a dance advertised through the window . Yeah it does,Spoken context governed,PREP
27653,KDN,. They 're trying to stop it . Would n't,like,to put your foot in that . What ? It,Spoken demographically sampled,VERB
20022,KC9,"very deep thought is it ? No , it 's",like,", [unclear] Watching the television or something like that .",Spoken demographically sampled,DP
19965,KC9,saying I do n't like this and I do n't,like,"that Yes , yes that 's right , yes .",Spoken demographically sampled,VERB
24743,KD3,"and it 's Jack , I like John , I",like,"to speak to John , so I said John I",Spoken demographically sampled,VERB
35854,KRG,". We could do exactly the same with sport ,",like,we could do it with art and theatre and music,Spoken context governed,PREP
19498,KC6,Oh my God [unclear] have al almost got no hair,like,the one that lives in our hou our old house,Spoken demographically sampled,PREP
1134,F8P,"dropped the bombs this bar was in a clip ,",like,"where me finger is , i in a clip so",Spoken context governed,PREP
13730,KB2,", oh you ca n't help it , it 's",like,and er anyway this one . Bill rang police up,Spoken demographically sampled,DP
3594,G4H,"say I 've got a lump sum , I 'd",like,"to put it somewhere for a couple of years ,",Spoken context governed,VERB
10918,JSF,that it then does . I think the house would,like,to know whether it 's a S F R A,Spoken context governed,VERB
9499,JJ7,"up there , and I think it pond I would",like,to to recognise what we 're going to work towards,Spoken context governed,VERB
13029,K7F,". Mm . And effectively , it 's a bit",like,drowning . Mm . Erm [unclear] get your heart started,Spoken context governed,PREP
23277,KCV,"someone to [unclear] sometimes . Yes , I do n't",like,it . Er [unclear] romantic and so you do n't,Spoken demographically sampled,VERB
11533,JTB,. But they keep thinking I mean I 've got,like,forty days holiday [unclear] my staff to get in in,Spoken context governed,APPROX
13199,KB1,"look like that photo , I think he does look",like,"that photo , but you were younger then , Yeah",Spoken demographically sampled,PREP
37672,KSS,it 's bland . It wo it 's it 's,like,[unclear] . Well put some salt on it [unclear] .,Spoken demographically sampled,DP
